1000,38932,38994,1294.966650724411
2000,41110,40921,2767.57883477211
3000,44726,43654,4296.163655042648
4000,45096,43732,5908.65723824501
5000,46024,44006,7470.1784381866455
6000,46714,44279,9043.131703853607
7000,46813,44282,10624.761014938354
8000,47037,44428,12159.897908687592
9000,48535,45247,13698.462798118591
10000,48640,45297,15572.778562784195
11000,48845,45455,17206.94032073021
12000,49185,45497,18586.835916280746
13000,49255,45508,20421.083347558975
14000,50078,45776,22091.281436681747
15000,50110,45784,23530.721539974213
16000,50286,45909,25335.2606883049
17000,50728,45971,27066.81126332283
18000,50746,45972,28655.18058872223
19000,50930,46002,30222.41376543045
20000,50959,46009,31923.936016321182
21000,51583,46336,33684.64670729637
22000,51807,46455,48067.46612381935
23000,51814,46462,49512.909578323364
24000,51932,46482,51025.97469210625
25000,51954,46546,52855.92629265785
26000,52078,46572,54209.34967589378
27000,52089,46581,55595.169362068176
28000,52261,46682,56976.30495047569
29000,52262,46684,58376.48470020294
30000,52520,46792,59957.86598753929
31000,52683,46827,61308.68932366371
32000,52701,46836,62615.816244125366
33000,52707,46836,63859.506631851196
34000,52782,46859,65474.600163936615
35000,52832,46874,67057.95740962029
36000,53104,47010,68493.82143330574
37000,53187,47080,70060.57057571411
38000,57186,48916,71777.46488809586
39000,57194,48918,73119.396068573
40000,57196,48918,74621.49662566185
41000,58153,49584,76279.20654320717
42000,58209,49602,77880.7760591507
43000,58210,49602,79326.33616447449
44000,58214,49609,80940.76172852516
45000,58216,49613,82333.52945423126
46000,58462,49644,83856.85426354408
47000,58477,49696,85434.21951889992
48000,58493,49696,86983.02033948898
49000,58622,49743,88485.5805079937
50000,58624,49743,90193.06261539459
51000,58642,49745,91669.99114346504
52000,58643,49745,93115.09921860695
53000,58682,49749,94457.82630991936
54000,58685,49749,95846.48211455345
55000,58756,49756,97664.36545801163
56000,58761,49756,99397.82805466652
56971,58941,49835,100912.00879192352
